ID del Beneficiario,Nombre del Beneficiario,Tipo de Crédito,Monto del Crédito,Destino del Crédito,Tipo de Empresa,Sector Económico,Ubicación (Departamento),Zona (Rural/Urbano),Fecha de Otorgamiento,Plazo del Crédito (meses),Tasa de Interés (%),Garantía,Estado del Crédito
1,Beneficiario_1,Turismo Rural 2.0 - Sello Verde,681560696,Proyectos productivos rurales/urbanos,Productor individual,Agricultura Familiar Campesina,Canindeyú,Semiurbano,2023-10-07,96,11.5,FOGAPY,Finalizado
2,Beneficiario_2,Ñepyrura 2.0,163476964,Recolección de aguas de lluvia,Microempresa,Agroindustrial,Misiones,Rural,2023-01-03,72,13.0,No tiene garantía,En mora
3,Beneficiario_3,Proagro Banana,614945943,Tratamiento de residuos sólidos y líquidos,Pequeña Empresa,Servicios,Amambay,Periurbano,2023-11-08,108,10.0,FOGAPY,En mora
4,Beneficiario_4,Turismo Rural 2.0 - Sello Verde,563408464,Infraestructura sustentable,Productor individual,Agricultura Familiar Campesina,Caaguazú,Urbano,2023-02-01,72,12.0,No tiene garantía,Activo
5,Beneficiario_5,Para Micro y Pequeñas Empresas,123357612,Recolección de aguas de lluvia,Pequeña Empresa,Turismo,Cordillera,Periurbano,2023-03-08,60,11.5,FOGAPY,En mora
6,Beneficiario_6,Po Joasá,370290435,Infraestructura sustentable,Productor individual,Servicios,Presidente Hayes,Semiurbano,2023-02-22,120,15.0,No tiene garantía,Activo
7,Beneficiario_7,Proagro CAH,244130356,Cosecha y almacenamiento,Microempresa,Agricultura Familiar Campesina,Alto Paraguay,Rural,2023-11-29,120,18.0,No tiene garantía,Activo
8,Beneficiario_8,Turismo Rural,563459343,Cultivo sostenible de frutas y verduras,Microempresa,Forestal,Central,Periurbano,2023-10-03,72,14.0,No tiene garantía,Activo
9,Beneficiario_9,Yvy Ñamombarete Hagua,681081409,Capital de inversión,Organización legalmente constituida,Agricultura Familiar Campesina,Caazapá,Rural,2023-04-22,36,11.5,FOGAMU,Activo
10,Beneficiario_10,Yvy Ñamombarete Hagua,434024807,Recolección de aguas de lluvia,Productor individual,Agroindustrial,Presidente Hayes,Rural,2023-05-12,48,15.0,FOGAPY,En mora
11,Beneficiario_11,Inversión Productiva 2.0 - FOGAPY,732132493,Energías renovables,Productor individual,Turismo,Alto Paraná,Rural,2023-08-31,24,14.0,No tiene garantía,En mora
12,Beneficiario_12,Kuña Ñamombarete Hagua - FOGAMU,184900701,Infraestructura sustentable,Pequeña Empresa,Agricultura Familiar Campesina,Boquerón,Semiurbano,2023-11-09,96,14.0,FOGAPY,Activo
13,Beneficiario_13,Turismo Rural 2.0 - Sello Verde,83481963,Capital operativo,Organización legalmente constituida,Forestal,Misiones,Urbano,2023-10-13,84,12.0,No tiene garantía,Finalizado
14,Beneficiario_14,Proagro CAH,515712892,Eficiencia energética,Microempresa,Industrial,Amambay,Urbano,2023-11-14,12,13.0,No tiene garantía,En mora
15,Beneficiario_15,Estudiantes y Técnicos Egresados de Escuelas Agropecuarias y Otros,586229811,Ahorro obligatorio (Banca Comunal),Organización legalmente constituida,Servicios,Guairá,Semiurbano,2023-09-05,60,14.0,No tiene garantía,Activo
16,Beneficiario_16,Crédito a Través del Descuento de Documento (CDD),142457351,Recolección de aguas de lluvia,Microempresa,Industrial,Alto Paraná,Semiurbano,2023-09-23,84,12.0,FOGAMU,Activo
17,Beneficiario_17,Inversión Productiva 2.0 - FOGAPY,85749249,Equipamiento turístico,Organización legalmente constituida,Servicios,Ñeembucú,Urbano,2023-07-11,12,14.0,No tiene garantía,Activo
18,Beneficiario_18,Kuña Ñamombarete Hagua - FOGAMU,508806722,Equipamiento turístico,Productor individual,Artesanal,Caazapá,Rural,2023-03-08,72,12.0,No tiene garantía,Activo
19,Beneficiario_19,Para Micro y Pequeñas Empresas,417189332,Desarrollo de microemprendimientos,Organización legalmente constituida,Forestal,Canindeyú,Semiurbano,2023-03-01,72,15.0,No tiene garantía,En mora
20,Beneficiario_20,Yvy Ñamombarete Hagua,563489394,Recolección de aguas de lluvia,Microempresa,Artesanal,Itapúa,Semiurbano,2023-06-04,36,18.0,FOGAMU,En mora
21,Beneficiario_21,Proagro CAH,490544384,Otros,Microempresa,Industrial,San Pedro,Urbano,2023-01-15,48,14.0,FOGAMU,Activo
22,Beneficiario_22,Mujer Emprendedora,343214588,Cosecha y almacenamiento,Productor individual,Servicios,Ñeembucú,Rural,2023-07-15,108,13.0,No tiene garantía,Finalizado
23,Beneficiario_23,Yvy Ñamombarete Hagua,191649022,Cosecha y almacenamiento,Organización legalmente constituida,Agricultura Familiar Campesina,Central,Semiurbano,2023-03-22,84,13.0,FOGAPY,En mora
24,Beneficiario_24,Proagro Banana,596401576,Otros,Pequeña Empresa,Industrial,Presidente Hayes,Rural,2023-02-26,120,15.0,FOGAMU,Finalizado
25,Beneficiario_25,Mujer Emprendedora,486433094,Cosecha y almacenamiento,Pequeña Empresa,Forestal,Alto Paraná,Urbano,2023-02-12,84,14.0,FOGAPY,En mora
26,Beneficiario_26,Kuña Ñamombarete Hagua - FOGAMU,76853798,Cosecha y almacenamiento,Pequeña Empresa,Agricultura Familiar Campesina,Misiones,Urbano,2023-10-20,96,15.0,No tiene garantía,En mora
27,Beneficiario_27,CAH/Mercadeo,644689639,Cultivo sostenible de frutas y verduras,Microempresa,Industrial,Alto Paraná,Rural,2023-08-23,72,15.0,FOGAPY,En mora
